Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2016-09-04,2016,9,Setembro,2016-09,3,Domingo,4,35
2016-09-05,2016,9,Setembro,2016-09,3,Segunda-feira,5,36
2016-09-06,2016,9,Setembro,2016-09,3,Terça-feira,6,36
2016-09-07,2016,9,Setembro,2016-09,3,Quarta-feira,7,36
2016-09-08,2016,9,Setembro,2016-09,3,Quinta-feira,8,36
2016-09-09,2016,9,Setembro,2016-09,3,Sexta-feira,9,36
2016-09-10,2016,9,Setembro,2016-09,3,Sábado,10,36
2016-09-11,2016,9,Setembro,2016-09,3,Domingo,11,36
2016-09-12,2016,9,Setembro,2016-09,3,Segunda-feira,12,37
2016-09-13,2016,9,Setembro,2016-09,3,Terça-feira,13,37
2016-09-14,2016,9,Setembro,2016-09,3,Quarta-feira,14,37
2016-09-15,2016,9,Setembro,2016-09,3,Quinta-feira,15,37
2016-09-16,2016,9,Setembro,2016-09,3,Sexta-feira,16,37
2016-09-17,2016,9,Setembro,2016-09,3,Sábado,17,37
2016-09-18,2016,9,Setembro,2016-09,3,Domingo,18,37
2016-09-19,2016,9,Setembro,2016-09,3,Segunda-feira,19,38
2016-09-20,2016,9,Setembro,2016-09,3,Terça-feira,20,38
2016-09-21,2016,9,Setembro,2016-09,3,Quarta-feira,21,38
2016-09-22,2016,9,Setembro,2016-09,3,Quinta-feira,22,38
2016-09-23,2016,9,Setembro,2016-09,3,Sexta-feira,23,38
2016-09-24,2016,9,Setembro,2016-09,3,Sábado,24,38
2016-09-25,2016,9,Setembro,2016-09,3,Domingo,25,38
2016-09-26,2016,9,Setembro,2016-09,3,Segunda-feira,26,39
2016-09-27,2016,9,Setembro,2016-09,3,Terça-feira,27,39
2016-09-28,2016,9,Setembro,2016-09,3,Quarta-feira,28,39
2016-09-29,2016,9,Setembro,2016-09,3,Quinta-feira,29,39
2016-09-30,2016,9,Setembro,2016-09,3,Sexta-feira,30,39
2016-10-01,2016,10,Outubro,2016-10,4,Sábado,1,39
2016-10-02,2016,10,Outubro,2016-10,4,Domingo,2,39
2016-10-03,2016,10,Outubro,2016-10,4,Segunda-feira,3,40
2016-10-04,2016,10,Outubro,2016-10,4,Terça-feira,4,40
2016-10-05,2016,10,Outubro,2016-10,4,Quarta-feira,5,40
2016-10-06,2016,10,Outubro,2016-10,4,Quinta-feira,6,40
2016-10-07,2016,10,Outubro,2016-10,4,Sexta-feira,7,40
2016-10-08,2016,10,Outubro,2016-10,4,Sábado,8,40
2016-10-09,2016,10,Outubro,2016-10,4,Domingo,9,40
2016-10-10,2016,10,Outubro,2016-10,4,Segunda-feira,10,41
2016-10-11,2016,10,Outubro,2016-10,4,Terça-feira,11,41
2016-10-12,2016,10,Outubro,2016-10,4,Quarta-feira,12,41
2016-10-13,2016,10,Outubro,2016-10,4,Quinta-feira,13,41
2016-10-14,2016,10,Outubro,2016-10,4,Sexta-feira,14,41
2016-10-15,2016,10,Outubro,2016-10,4,Sábado,15,41
2016-10-16,2016,10,Outubro,2016-10,4,Domingo,16,41
2016-10-17,2016,10,Outubro,2016-10,4,Segunda-feira,17,42
2016-10-18,2016,10,Outubro,2016-10,4,Terça-feira,18,42
2016-10-19,2016,10,Outubro,2016-10,4,Quarta-feira,19,42
2016-10-20,2016,10,Outubro,2016-10,4,Quinta-feira,20,42
2016-10-21,2016,10,Outubro,2016-10,4,Sexta-feira,21,42
2016-10-22,2016,10,Outubro,2016-10,4,Sábado,22,42
2016-10-23,2016,10,Outubro,2016-10,4,Domingo,23,42
2016-10-24,2016,10,Outubro,2016-10,4,Segunda-feira,24,43
2016-10-25,2016,10,Outubro,2016-10,4,Terça-feira,25,43
2016-10-26,2016,10,Outubro,2016-10,4,Quarta-feira,26,43
2016-10-27,2016,10,Outubro,2016-10,4,Quinta-feira,27,43
2016-10-28,2016,10,Outubro,2016-10,4,Sexta-feira,28,43
2016-10-29,2016,10,Outubro,2016-10,4,Sábado,29,43
2016-10-30,2016,10,Outubro,2016-10,4,Domingo,30,43
2016-10-31,2016,10,Outubro,2016-10,4,Segunda-feira,31,44
2016-11-01,2016,11,Novembro,2016-11,4,Terça-feira,1,44
2016-11-02,2016,11,Novembro,2016-11,4,Quarta-feira,2,44
2016-11-03,2016,11,Novembro,2016-11,4,Quinta-feira,3,44
2016-11-04,2016,11,Novembro,2016-11,4,Sexta-feira,4,44
2016-11-05,2016,11,Novembro,2016-11,4,Sábado,5,44
2016-11-06,2016,11,Novembro,2016-11,4,Domingo,6,44
2016-11-07,2016,11,Novembro,2016-11,4,Segunda-feira,7,45
2016-11-08,2016,11,Novembro,2016-11,4,Terça-feira,8,45
2016-11-09,2016,11,Novembro,2016-11,4,Quarta-feira,9,45
2016-11-10,2016,11,Novembro,2016-11,4,Quinta-feira,10,45
2016-11-11,2016,11,Novembro,2016-11,4,Sexta-feira,11,45
2016-11-12,2016,11,Novembro,2016-11,4,Sábado,12,45
2016-11-13,2016,11,Novembro,2016-11,4,Domingo,13,45
2016-11-14,2016,11,Novembro,2016-11,4,Segunda-feira,14,46
2016-11-15,2016,11,Novembro,2016-11,4,Terça-feira,15,46
2016-11-16,2016,11,Novembro,2016-11,4,Quarta-feira,16,46
2016-11-17,2016,11,Novembro,2016-11,4,Quinta-feira,17,46
2016-11-18,2016,11,Novembro,2016-11,4,Sexta-feira,18,46
2016-11-19,2016,11,Novembro,2016-11,4,Sábado,19,46
2016-11-20,2016,11,Novembro,2016-11,4,Domingo,20,46
2016-11-21,2016,11,Novembro,2016-11,4,Segunda-feira,21,47
2016-11-22,2016,11,Novembro,2016-11,4,Terça-feira,22,47
2016-11-23,2016,11,Novembro,2016-11,4,Quarta-feira,23,47
2016-11-24,2016,11,Novembro,2016-11,4,Quinta-feira,24,47
2016-11-25,2016,11,Novembro,2016-11,4,Sexta-feira,25,47
2016-11-26,2016,11,Novembro,2016-11,4,Sábado,26,47
2016-11-27,2016,11,Novembro,2016-11,4,Domingo,27,47
2016-11-28,2016,11,Novembro,2016-11,4,Segunda-feira,28,48
2016-11-29,2016,11,Novembro,2016-11,4,Terça-feira,29,48
2016-11-30,2016,11,Novembro,2016-11,4,Quarta-feira,30,48
2016-12-01,2016,12,Dezembro,2016-12,4,Quinta-feira,1,48
2016-12-02,2016,12,Dezembro,2016-12,4,Sexta-feira,2,48
2016-12-03,2016,12,Dezembro,2016-12,4,Sábado,3,48
2016-12-04,2016,12,Dezembro,2016-12,4,Domingo,4,48
2016-12-05,2016,12,Dezembro,2016-12,4,Segunda-feira,5,49
2016-12-06,2016,12,Dezembro,2016-12,4,Terça-feira,6,49
2016-12-07,2016,12,Dezembro,2016-12,4,Quarta-feira,7,49
2016-12-08,2016,12,Dezembro,2016-12,4,Quinta-feira,8,49
2016-12-09,2016,12,Dezembro,2016-12,4,Sexta-feira,9,49
2016-12-10,2016,12,Dezembro,2016-12,4,Sábado,10,49
2016-12-11,2016,12,Dezembro,2016-12,4,Domingo,11,49
2016-12-12,2016,12,Dezembro,2016-12,4,Segunda-feira,12,50
2016-12-13,2016,12,Dezembro,2016-12,4,Terça-feira,13,50
2016-12-14,2016,12,Dezembro,2016-12,4,Quarta-feira,14,50
2016-12-15,2016,12,Dezembro,2016-12,4,Quinta-feira,15,50
2016-12-16,2016,12,Dezembro,2016-12,4,Sexta-feira,16,50
2016-12-17,2016,12,Dezembro,2016-12,4,Sábado,17,50
2016-12-18,2016,12,Dezembro,2016-12,4,Domingo,18,50
2016-12-19,2016,12,Dezembro,2016-12,4,Segunda-feira,19,51
2016-12-20,2016,12,Dezembro,2016-12,4,Terça-feira,20,51
2016-12-21,2016,12,Dezembro,2016-12,4,Quarta-feira,21,51
2016-12-22,2016,12,Dezembro,2016-12,4,Quinta-feira,22,51
2016-12-23,2016,12,Dezembro,2016-12,4,Sexta-feira,23,51
2016-12-24,2016,12,Dezembro,2016-12,4,Sábado,24,51
2016-12-25,2016,12,Dezembro,2016-12,4,Domingo,25,51
2016-12-26,2016,12,Dezembro,2016-12,4,Segunda-feira,26,52
2016-12-27,2016,12,Dezembro,2016-12,4,Terça-feira,27,52
2016-12-28,2016,12,Dezembro,2016-12,4,Quarta-feira,28,52
2016-12-29,2016,12,Dezembro,2016-12,4,Quinta-feira,29,52
2016-12-30,2016,12,Dezembro,2016-12,4,Sexta-feira,30,52
2016-12-31,2016,12,Dezembro,2016-12,4,Sábado,31,52
2017-01-01,2017,1,Janeiro,2017-01,1,Domingo,1,52
2017-01-02,2017,1,Janeiro,2017-01,1,Segunda-feira,2,1
2017-01-03,2017,1,Janeiro,2017-01,1,Terça-feira,3,1
2017-01-04,2017,1,Janeiro,2017-01,1,Quarta-feira,4,1
2017-01-05,2017,1,Janeiro,2017-01,1,Quinta-feira,5,1
2017-01-06,2017,1,Janeiro,2017-01,1,Sexta-feira,6,1
2017-01-07,2017,1,Janeiro,2017-01,1,Sábado,7,1
2017-01-08,2017,1,Janeiro,2017-01,1,Domingo,8,1
2017-01-09,2017,1,Janeiro,2017-01,1,Segunda-feira,9,2
2017-01-10,2017,1,Janeiro,2017-01,1,Terça-feira,10,2
2017-01-11,2017,1,Janeiro,2017-01,1,Quarta-feira,11,2
2017-01-12,2017,1,Janeiro,2017-01,1,Quinta-feira,12,2
2017-01-13,2017,1,Janeiro,2017-01,1,Sexta-feira,13,2
2017-01-14,2017,1,Janeiro,2017-01,1,Sábado,14,2
2017-01-15,2017,1,Janeiro,2017-01,1,Domingo,15,2
2017-01-16,2017,1,Janeiro,2017-01,1,Segunda-feira,16,3
2017-01-17,2017,1,Janeiro,2017-01,1,Terça-feira,17,3
2017-01-18,2017,1,Janeiro,2017-01,1,Quarta-feira,18,3
2017-01-19,2017,1,Janeiro,2017-01,1,Quinta-feira,19,3
2017-01-20,2017,1,Janeiro,2017-01,1,Sexta-feira,20,3
2017-01-21,2017,1,Janeiro,2017-01,1,Sábado,21,3
